"AGS5","krs_WZ_gesamt","krs_homeoffice_WZ","krsanteil_homeoffice_WZ","krs_KldB_gesamt","krs_homeoffice_KldB","krsanteil_homeoffice_KldB"
7232,28662,15077.6162109375,0.526048992077925,28609,14166.0546875,0.495160777639904
7233,20021,10272.068359375,0.513064700033715,19333,9486.279296875,0.490678078770755
7235,31340,16128.130859375,0.514618087408264,31100,14837.5732421875,0.477092387208601
7311,18910,10258.86328125,0.542509956702803,18910,10201.974609375,0.53950156580513
7312,54512,31421.533203125,0.576414976576258,54175,31132.306640625,0.574661866924319
7313,23993,13616.439453125,0.567517169721377,23992,13440.77734375,0.560219129032594
7314,105281,59668.1015625,0.566750900566104,104872,59497.76953125,0.567337034968819
7315,116021,68480.296875,0.59024053296386,115370,71449.21875,0.619305007800988
7316,17747,9950.271484375,0.560673436883699,17707,9629.8603515625,0.543844826992856
7317,20519,11166.1650390625,0.544186609438204,20404,11175.28125,0.54770051215448
7318,29417,16085.60546875,0.546813253178434,29413,15660.1015625,0.53242109143916
7319,34527,18268.87890625,0.52911862908014,34302,17623.115234375,0.513763490011515
7320,15580,8503.912109375,0.545822343348845,15580,7926.68212890625,0.508772922266126
7331,29986,15925.3115234375,0.531091560175999,29987,14958.0048828125,0.498816316497566
7332,32270,17004.9921875,0.526959782692904,31711,16217.236328125,0.511407282271925
7333,22064,11920.1474609375,0.540253238802461,21810,11139.5830078125,0.510755754599381
7334,46595,25135.740234375,0.539451448317953,46595,23868.240234375,0.512248958780449
7335,26050,13965.6611328125,0.536109832353647,25554,12826.7548828125,0.50194704871302
7336,12540,6744.123046875,0.537808855412679,12540,6466.248046875,0.515649764503589
7337,31592,16240.427734375,0.514067730260034,31592,16063.9111328125,0.508480347328833
7338,29014,14726.462890625,0.507564034280864,28739,13877.6826171875,0.482886760749765
7339,57771,32661.17578125,0.565355901425456,57641,30501.162109375,0.529157407216651
7340,15354,8098.81298828125,0.52747251454222,15354,7372.43212890625,0.480163613970708
8111,427199,266365.03125,0.623515109468889,426324,281103.53125,0.659365954649515
8115,183537,106568.3203125,0.580636712556596,183175,110827.4453125,0.605035869045994
8116,221141,124007.203125,0.560760795714047,220325,125567.84375,0.569920997390219
8117,88800,48280.48828125,0.543699192356419,88556,47529.640625,0.536718467692759
8118,208575,116930.2734375,0.560614999101043,207601,119545.28125,0.575841548210269
8119,153024,83156.03125,0.543418230146905,151175,82825.21875,0.547876426327104
8121,72534,41341.15625,0.569955555325778,71809,41222.5234375,0.574057895772118
8125,146013,81379.5078125,0.557344262582784,145763,81909.625,0.561937014194274
8126,60098,33500.609375,0.557433015657759,59955,34138.875,0.569408306229672
8127,84795,45472.04296875,0.536258540819034,83970,44843.55859375,0.534042617527093
8128,56622,30293.830078125,0.535018722018385,56611,29915.982421875,0.528448224229832
8135,53423,29613.6484375,0.554323951060405,53151,28534.912109375,0.53686500930133
8136,129482,71376.5703125,0.551247048334904,129215,69823.3125,0.540365379406416
8211,30797,17516.275390625,0.568765639205929,30797,17500.068359375,0.568239385634153
8212,179046,109187.28125,0.609828095852462,177905,112899.703125,0.634606689665833
8215,159473,88639.109375,0.555825182789563,159457,87326.484375,0.547649111515957
8216,94667,50860.68359375,0.537258850430984,94184,48614.671875,0.51616699094326
8221,91900,53890.796875,0.586406930087051,91448,55829.890625,0.610509695400665
8222,191211,108594.921875,0.567932398632924,190196,113346.4375,0.595945432606364
8225,46585,25043.205078125,0.537580875348825,45507,23199.814453125,0.509807599998352
8226,177488,104213.1953125,0.587156288382877,177212,104463.625,0.589483923210618
8231,59121,32546.759765625,0.550510981979753,59077,32612.7890625,0.552038679392996
8235,48355,25608.884765625,0.529601587542653,48342,24570.74609375,0.508269126096355
8236,64306,34379.94921875,0.534630504443598,64231,32666.42578125,0.508577256795784
8237,48380,25419.0078125,0.525403220597354,48331,25124.54296875,0.51984322626782
8311,129455,74609.7421875,0.576337276949519,129205,76968.40625,0.595707644827987
8315,84126,43883.54296875,0.521640669575993,84040,42725.71875,0.508397414921466
8316,53656,29184.74609375,0.543923253573692,53537,28271.3203125,0.528070685927489
8317,185571,98891.578125,0.532904269120714,184754,95465.84375,0.516718684033905
8325,58212,31037.2109375,0.53317547820896,58212,29888.4296875,0.513441037715591
8326,88974,48313.3203125,0.543004926298694,88973,46889.2734375,0.527005647078327
8327,68047,36243.6953125,0.532627379788969,67779,34917.55859375,0.515167804094926
8335,103521,56175.21875,0.542645634702138,103166,55260.3984375,0.535645449445554
8336,80013,43584.97265625,0.544723640611526,79648,42900.8125,0.538630128816794
8337,55138,28917.41015625,0.52445518800555,54950,27782.248046875,0.505591411226115
8415,116522,64641.921875,0.554761520356671,116305,64485.546875,0.55445206031555
8416,82721,46837.15625,0.566206359328345,82312,47742.05078125,0.580013251788925
8417,70531,37976.96875,0.538443645347436,69983,36873.28125,0.52688911950045
8421,95944,55220.34375,0.575547650191779,95542,55686.1953125,0.582845191774298
8425,56526,29814.560546875,0.527448617395093,56526,27898.365234375,0.493549255818119
8426,87334,47497.3125,0.543858205280876,87210,44996.71484375,0.515958202542713
8435,94311,52357.2734375,0.555155532626099,93102,52609.8359375,0.565077398310455
8436,121344,66501.8828125,0.548044261047106,119897,64718.79296875,0.539786591564009
8437,48494,25510.02734375,0.526045022966759,47966,23843.6796875,0.497095436090147
9161,107275,59950.49609375,0.558848716790958,106291,64291.39453125,0.604862072341496
9162,901773,563672.0625,0.625070901989747,899846,602642.9375,0.669717860056054
9163,35381,20334.66796875,0.574734121951047,34786,19957.244140625,0.573714831846864
9171,48637,26479.71875,0.544435691962909,48338,25727.873046875,0.532249432059146
9172,36817,19108.09765625,0.519002027765706,36430,18589.767578125,0.510287334013862
9173,38124,20222.01171875,0.530427334979278,38126,19947.6640625,0.523203694657189
9174,43834,23565.3515625,0.537604406682028,43685,23470.0546875,0.537256602666819
9175,41478,22525.615234375,0.543073803808646,40966,22327.078125,0.545014844627252
9176,42195,23834.412109375,0.564863422428605,42195,22785.49609375,0.540004647321958
9177,46233,24423.900390625,0.52827851081749,46219,23146.419921875,0.500798803995651
9178,84982,43846.92578125,0.515955446815208,84597,44114.25390625,0.521463573250234
9179,52604,29301.673828125,0.557023683144343,52394,29355.9609375,0.560292417786388
9180,29294,15130.72265625,0.516512687111695,29119,14597.2763671875,0.501297309907191
9181,39818,21590.92578125,0.542240338069466,39281,21565.912109375,0.549016372021461
9182,36580,19645.771484375,0.53706318984076,36580,19495.193359375,0.532946784017906
